step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy,full_valid_loss,full_valid_mean_token_accuracy
136,0.355490923,0.852941155,0.376030722,0.901234568,,
137,0.282266676,0.907407403,0.327782804,0.878787879,,
138,0.245194137,0.894736826,0.099857029,0.947368421,,
139,0.105141379,0.957446814,0.292020686,0.843137255,,
140,0.050804012,1,0.083287954,0.979166667,,
141,0.078796223,0.966101706,0.106524582,0.96,,
142,0.214796588,0.914893627,0.104546138,0.942857143,,
143,0.156456649,0.938775539,0.177133942,0.975,,
144,0.365141273,0.902438998,0.265175531,0.930232558,,
145,0.297501653,0.842105269,0.105257866,0.948717949,,
146,0.047864549,0.978723407,0.177300555,0.936170213,,
147,0.00678069,1,0.120557247,0.948717949,,
148,0.123248011,0.952380955,0.294446867,0.93877551,,
149,0.218594402,0.963636339,0.040976395,1,,
150,0.27399534,0.915254235,0.297868827,0.913793103,,
151,0.047299407,0.976744175,0.213623313,0.976744186,,
152,0.013149325,1,0.179154992,0.9375,,
153,0.022640271,1,0.296561105,0.928571429,,
154,0.12709792,0.958904088,0.289761876,0.88372093,,
155,0.049283259,0.984848499,0.26690344,0.916666667,,
156,0.141050428,0.942028999,0.256942994,0.948717949,,
157,0.083249889,0.959183693,0.387329688,0.923076923,,
158,0.21332413,0.955223858,0.33439203,0.913580247,,
159,0.170062736,0.92592591,0.320424773,0.878787879,,
160,0.164196759,0.909090936,0.089524068,0.947368421,,
161,0.321971595,0.933333337,0.286688113,0.843137255,,
162,0.603327334,0.90196079,0.094331622,0.958333333,,
163,0.026821403,1,0.109244652,0.96,,
164,0.140790045,0.959183693,0.117089299,0.971428571,,
165,0.258137524,0.947368443,0.197986078,0.975,,
166,0.062122151,1,0.247281984,0.930232558,,
167,0.136674494,0.966666639,0.147597093,0.948717949,,
168,0.055298518,0.976744175,0.184386964,0.936170213,,
169,0.13350296,0.941176474,0.148751968,0.923076923,,
170,0.149405941,0.939999998,0.302928457,0.93877551,,
171,0.07801307,0.972602725,0.066223557,0.972972973,,
172,0.231423169,0.913043499,0.303186482,0.896551724,,
173,0.474539816,0.90196079,0.231931376,0.976744186,,
174,0.289860308,0.901408434,0.204041163,0.916666667,,
175,0.235067114,0.905660391,0.289404052,0.928571429,,
176,0.020370111,1,0.312580064,0.906976744,,
177,0.04222469,1,0.269495805,0.895833333,,
178,0.119424127,0.977272749,0.286534872,0.948717949,,
179,0.043508116,0.972972989,0.412515053,0.897435897,,
180,0.048282519,1,0.340079013,0.913580247,,
181,0.292845666,0.947368443,0.327471155,0.893939394,,
182,0.114715375,0.964912295,0.088518042,0.947368421,,
183,0.19901064,0.906666696,0.280243556,0.843137255,,
184,0.22714591,0.9375,0.106055458,0.9375,,
185,0.007191257,1,0.139081421,0.96,,
186,0.118108802,0.974358976,0.08705368,0.942857143,,
187,0.030904377,0.970588207,0.180686998,0.975,,
188,0.055083849,0.971428573,0.227840867,0.930232558,,
189,0.134261042,0.98113209,0.130430857,0.923076923,,
190,0.086926281,0.96875,0.176054731,0.936170213,,
191,0.152227372,0.95588237,0.145611298,0.923076923,,
192,0.363011062,0.925000012,0.286402722,0.93877551,,
193,0.02453381,1,0.083275563,0.972972973,,
194,0.217909425,0.909090936,0.309061873,0.896551724,,
195,0.161858797,0.967213094,0.218927383,0.976744186,,
196,0.109164916,0.952380955,0.212032994,0.916666667,,
197,0.291625261,0.883720934,0.303373155,0.928571429,,
198,0.234054029,0.918032765,0.286905023,0.906976744,,
199,0.224380925,0.943661988,0.23627913,0.895833333,,
200,0.109085687,0.933333337,0.266053126,0.948717949,0.164201455,0.945259042
201,0.008453608,1,0.378371606,0.923076923,,
202,0.018962795,1,0.320997827,0.913580247,,
203,0.021527464,0.977272749,0.333946633,0.878787879,,
204,0.131373823,0.933333337,0.057422889,0.973684211,,
205,0.069291934,0.976190448,0.266026441,0.862745098,,
206,0.061135594,0.977272749,0.082318942,0.9375,,
207,0.039576393,1,0.126265221,0.96,,
208,0.12506032,0.985074639,0.097259739,0.942857143,,
209,0.02390301,1,0.187303829,0.975,,
210,0.003516992,1,0.244762909,0.930232558,,
211,0.008351127,1,0.130428657,0.923076923,,
212,0.161968648,0.96875,0.1818146,0.936170213,,
213,0.007604635,1,0.146180177,0.948717949,,
214,0.007179382,1,0.308476039,0.959183673,,
215,0.038652647,0.976190448,0.037661475,1,,
216,0.1691892,0.944444418,0.301725716,0.896551724,,
217,0.013199133,1,0.217825335,0.976744186,,
218,0.093062617,0.977272749,0.201003194,0.9375,,
219,0.059754651,1,0.335300264,0.928571429,,
220,0.043279823,0.984848499,0.31269486,0.906976744,,
221,0.130404368,0.961538434,0.208096504,0.9375,,
222,0.021917442,0.982758641,0.262361282,0.948717949,,
223,0.160416111,0.948717952,0.396742112,0.923076923,,
224,0.075411461,0.972972989,0.396706734,0.901234568,,
225,0.002747803,1,0.404759465,0.878787879,,
226,0.002008593,1,0.06354352,0.973684211,,
227,0.004852696,1,0.322620504,0.882352941,,
228,0.000505548,1,0.096974413,0.9375,,
229,0.181035697,0.957746506,0.129789276,0.92,,
230,0.00041179,1,0.086780657,0.942857143,,
231,0.000651805,1,0.235357666,0.975,,
232,0.018976655,1,0.337746199,0.930232558,,
233,0.00056406,1,0.185147554,0.923076923,,
234,0.152782798,0.970588207,0.209907288,0.936170213,,
235,0.079715222,0.979591846,0.238236452,0.923076923,,
236,0.279769897,0.952380955,0.419332777,0.959183673,,
237,0.003042553,1,0.027953895,1,,
238,0.143616527,0.957746506,0.348019699,0.896551724,,
239,0.000497385,1,0.255096081,0.976744186,,
240,0.113226704,0.93617022,0.239765922,0.958333333,,
241,0.071889736,0.962962985,0.389105888,0.928571429,,
242,0.2408043,0.964912295,0.397647813,0.906976744,,
243,0.335693538,0.90196079,0.286885381,0.895833333,,
244,0.070258141,0.972222209,0.39117417,0.923076923,,
245,0.24634771,0.926829278,0.50582025,0.897435897,,
246,0.229482487,0.916666687,0.441773167,0.913580247,,
247,0.032837827,1,0.448483987,0.909090909,,
248,0.150329396,0.959183693,0.179399089,0.947368421,,
249,0.092524864,0.985294104,0.381756614,0.843137255,,
250,0.127945393,0.949152529,0.148071011,0.916666667,,
251,0.102162361,0.921052635,0.132851601,0.94,,
252,0.00013146,1,0.093097033,0.942857143,,
253,0.007912125,1,0.259394884,0.975,,
254,0.000596503,1,0.367345012,0.930232558,,
255,0.009662473,1,0.257459641,0.897435897,,
256,0.004171944,1,0.224072355,0.936170213,,
257,0.074739732,0.975609779,0.264012068,0.923076923,,
258,0.13491258,0.950819671,0.423437508,0.959183673,,
259,0.084488936,0.956521749,0.018158681,1,,
260,0.006380081,1,0.356858747,0.896551724,,
261,0.002139462,1,0.270704314,0.976744186,,
262,0.173972532,0.981818199,0.26222233,0.9375,,
263,0.00216428,1,0.403815951,0.928571429,,
264,0.000890107,1,0.399940801,0.906976744,,
265,0.0040158,1,0.249184648,0.916666667,,
266,0.00255537,1,0.317426486,0.948717949,,
267,0.178896591,0.958333313,0.449374517,0.923076923,,
268,0.032070059,1,0.449195885,0.913580247,,
269,0.030701892,0.983333349,0.487639398,0.909090909,,
270,0.000217615,1,0.092616935,0.947368421,,
271,0.000733651,1,0.347649219,0.862745098,,
272,0.237791896,0.941176474,0.132534186,0.9375,,
273,0.042440001,0.966666639,0.152635231,0.94,,
274,0.004203515,1,0.115480695,0.942857143,,
275,0.041292801,1,0.281668854,0.975,,
276,0.144377455,0.947368443,0.373964665,0.930232558,,
277,0.002309714,1,0.170216194,0.897435897,,
278,0.00689853,1,0.229454081,0.936170213,,
279,0.000490449,1,0.234413147,0.948717949,,
280,0.027919885,1,0.44894705,0.959183673,,
281,0.14680472,0.967213094,0.015919453,1,,
282,0.037105758,0.974358976,0.357543025,0.896551724,,
283,0.087190025,0.964912295,0.283352874,0.976744186,,
284,0.046455249,0.976744175,0.280081709,0.9375,,
285,0.299668372,0.933333337,0.405884697,0.928571429,,
286,0.004213691,1,0.401270489,0.906976744,,
287,0.551325679,0.960784316,0.2616237,0.9375,,
288,0.053511601,0.980392158,0.325273025,0.948717949,,
289,0.037605084,0.973684192,0.460100027,0.923076923,,
290,0.224587932,0.924528301,0.467477304,0.901234568,,
291,0.000291724,1,0.504650174,0.893939394,,
292,0.037570953,0.971428573,0.071814587,0.947368421,,
293,0.209455118,0.964912295,0.358504501,0.862745098,,
294,0.104954965,0.980392158,0.125679334,0.9375,,
295,0.427866876,0.925000012,0.154414978,0.94,,
296,0.066638283,0.956521749,0.109680503,0.942857143,,
297,0.018490892,1,0.280261374,0.975,,
298,0.052430172,0.98113209,0.381319844,0.930232558,,
299,0.037002627,0.983606577,0.16556774,0.897435897,,
300,0.177091107,0.930232584,0.233516734,0.936170213,0.188422374,0.947214076
